Type,Name,id,ilvl,Source,Amount,Int,Crit,Haste,Mastery,Vers
Head,Draconic Hierophant's Archcowl,,418,Vault,0,,,,,
Head,Hood of Arcane Mystery,,415,M+ (SBG),0,,,,,
Head,Councilor's Terrormask,,415,Raid,0,,,,,
Head,Draconic Hierophant's Archcowl,,421,Catalyst,0,,,,,
Shoulder,Ascended Squallspires,,421,Raid,0,,,,,
Shoulder,Drake Hunter Shoulderpads,,415,M+ (NO),0,,,,,
Shoulder,Draconic Hierophant's Wisdom,,421,Catalyst,0,,,,,
Shoulder,Draconic Hierophant's Wisdom,,424,Raid,0,,,,,
Chest,Compressed Cultist's Frock,,415,Raid,0,,,,,
Chest,Bronze Challenger's Robe,,415,M+ (AA),0,,,,,
Chest,Draconic Hierophant's Vestment,,421,Catalyst,0,,,,,
Chest,Draconic Hierophant's Vestment,,421,Raid,0,,,,,
Hands,Eggtender's Safety Mitts,,424,Raid,0,,,,,
Hands,Draconic Hierophant's Grips,,421,Catalyst,0,,,,,
Hands,Draconic Hierophant's Grips,,421,Raid,0,,,,,
Legs,Flametender's Legwraps,,415,Raid,0,,,,,
Legs,Wind Soarer's Breeches,,415,M+ (RLP),0,,,,,
Legs,Draconic Hierophant's Britches,,421,Catalyst,0,,,,,
Legs,Draconic Hierophant's Britches,,415,Raid,0,,,,,
Weapon 1h,Scepter of Drastic Measures,,421,Raid,0,,,,,
Weapon 1h,Stormlash's Last Resort,,424,Raid,0,,,,,
Weapon 1h,Stormlash's Last Resort,,411,Raid,0,,,,,
Weapon 1h,Primal Molten Spellblade,,418,Craft,0,,,,,
Weapon 1h off,Icewrath's Channeling Conduit,,415,Raid,0,,,,,
Weapon 1h off,Crackling Codex of the Isles,,418,Craft,0,,,,,
Weapon 1h off,Scripture of Primal Devotion,,421,Raid,0,,,,,
Weapon 2h,Quake-Detecting Seismostaff,,415,Raid,0,,,,,
Weapon 2h,Chillworn's Infusion Staff,,418,Vault,0,,,,,
Weapon 2h,Staff of Violent Storms,,415,M+ (NO),0,,,,,
Neck,Elemental Lariat,,418,Craft,0,,,,,
Neck,Eye of the Vengeful Hurricane,,421,Raid,0,,,,,
Neck,Terros's Captive Core,,415,Raid,0,,,,,
Cloak,Acid-Proof Webbing,,415,Raid,0,,,,,
Cloak,Acid-Proof Webbing,,402,Raid,0,,,,,
Cloak,Cloak of Failing Will,,415,M+,0,,,,,
Cloak,Decorated Commander's Cindercloak,,415,Raid,0,,,,,
Wrist,Chilled Silken Restraints,,415,Raid,0,,,,,
Wrist,Infused Elemental Bands,,415,M+ (AV),0,,,,,
Wrist,Draconic Hierophant's Wristbands,,421,Catalyst,0,,,,,
Wrist,Allied Wristguards of Time Dilation,,418,Craft,0,,,,,
Belt,Magatha's Spiritual Sash,,421,Raid,0,,,,,
Belt,Solsten's Arcing Runecord,,415,M+ (HoV),0,,,,,
Belt,Draconic Hierophant's Sash,,421,Catalyst,0,,,,,
Belt,Vibrant Wildercloth Girdle,,418,Craft,0,,,,,
Belt,Cord of Wicked Pyromania,,415,M+ (CoS),0,,,,,
Shoes,Sandals of the Wild Sovereign,,411,Raid,0,,,,,
Shoes,Flameheart Sandals,,415,M+ (TJS),0,,,,,
Rings,Seal of Diurna's Chosen,,421,Raid,0,,,,,
Rings,Seal of Filial Duty,,430,Raid,0,,,,,
Rings,Platinum Star Band,,415,M+ (AA),0,,,,,
Rings,Woe-Bearer's Band,,415,M+ (HoV),0,,,,,
Rings,Val'kyr Ascension Signet,,415,M+ (HoV),0,,,,,
Rings,Crystallized Droplet,,415,M+ (TJS),0,,,,,
